GameId,GameDate,NeutralSite,AwayTeam,HomeTeam,Team,Home,Score,AST,TOV,STL,BLK,Rebounds,ORB,DRB,FGA,FGM,3FGM,3FGA,FTA,FTM,Fouls
20,1/12/2019 12:00,0,Louisville Cardinals,North Carolina Tar Heels,Louisville Cardinals,0,83,17,14,8,0,36,7,29,54,28,11,26,26,16,20
20,1/12/2019 12:00,0,Louisville Cardinals,North Carolina Tar Heels,North Carolina Tar Heels,1,62,13,14,9,3,26,11,15,58,20,3,22,27,19,21
21,1/12/2019 14:00,0,Duke Blue Devils,Florida State Seminoles,Duke Blue Devils,0,80,14,14,7,3,27,9,18,65,30,11,24,15,9,15
21,1/12/2019 14:00,0,Duke Blue Devils,Florida State Seminoles,Florida State Seminoles,1,78,16,17,8,7,36,16,20,62,25,8,25,24,20,14
22,1/12/2019 14:00,0,Wake Forest Demon Deacons,Miami (FL) Hurricanes,Miami (FL) Hurricanes,1,76,16,15,5,5,36,6,30,48,23,11,25,23,19,12
22,1/12/2019 14:00,0,Wake Forest Demon Deacons,Miami (FL) Hurricanes,Wake Forest Demon Deacons,0,65,11,12,7,0,33,14,19,73,25,7,33,9,8,20
23,1/12/2019 18:00,0,Georgia Tech Yellow Jackets,Syracuse Orange,Georgia Tech Yellow Jackets,0,73,16,21,15,4,28,6,22,42,25,6,12,27,17,17
23,1/12/2019 18:00,0,Georgia Tech Yellow Jackets,Syracuse Orange,Syracuse Orange,1,59,13,17,10,4,25,10,15,57,18,7,33,21,16,19
24,1/14/2019 19:00,0,Syracuse Orange,Duke Blue Devils,Duke Blue Devils,1,91,21,11,8,12,48,14,34,80,31,9,43,27,20,20
24,1/14/2019 19:00,0,Syracuse Orange,Duke Blue Devils,Syracuse Orange,0,95,13,14,3,5,44,11,33,80,35,11,25,19,14,20
25,1/14/2019 19:00,0,Florida State Seminoles,Pittsburgh Panthers,Florida State Seminoles,0,62,8,12,7,8,38,14,24,58,20,2,22,27,20,31
